Date,Electricity_Consumption_Billion_kWh
2010-01-01,6.15
2010-02-01,6.18
2010-03-01,6.3
2010-04-01,6.39
2010-05-01,6.16
2010-06-01,6.08
2010-07-01,6.18
2010-08-01,6.04
2010-09-01,5.91
2010-10-01,6.06
2010-11-01,6.05
2010-12-01,6.17
2011-01-01,6.36
2011-02-01,6.24
2011-03-01,6.31
2011-04-01,6.42
2011-05-01,6.32
2011-06-01,6.37
2011-07-01,6.17
2011-08-01,6.07
2011-09-01,6.35
2011-10-01,6.22
2011-11-01,6.35
2011-12-01,6.32
2012-01-01,6.53
2012-02-01,6.68
2012-03-01,6.6
2012-04-01,6.75
2012-05-01,6.6
2012-06-01,6.55
2012-07-01,6.44
2012-08-01,6.63
2012-09-01,6.44
2012-10-01,6.38
2012-11-01,6.66
2012-12-01,6.58
2013-01-01,6.84
2013-02-01,6.72
2013-03-01,6.83
2013-04-01,6.97
2013-05-01,6.97
2013-06-01,6.84
2013-07-01,6.73
2013-08-01,6.66
2013-09-01,6.53
2013-10-01,6.65
2013-11-01,6.77
2013-12-01,7.05
2014-01-01,7.09
2014-02-01,6.98
2014-03-01,7.23
2014-04-01,7.15
2014-05-01,7.07
2014-06-01,7.12
2014-07-01,7.08
2014-08-01,7.02
2014-09-01,6.84
2014-10-01,6.94
2014-11-01,7.09
2014-12-01,7.28
2015-01-01,7.25
2015-02-01,7.37
2015-03-01,7.33
2015-04-01,7.31
2015-05-01,7.46
2015-06-01,7.44
2015-07-01,7.21
2015-08-01,7.27
2015-09-01,7.2
2015-10-01,7.14
2015-11-01,7.34
2015-12-01,7.57
2016-01-01,7.54
2016-02-01,7.79
2016-03-01,7.42
2016-04-01,7.76
2016-05-01,7.63
2016-06-01,7.51
2016-07-01,7.47
2016-08-01,7.21
2016-09-01,7.38
2016-10-01,7.48
2016-11-01,7.69
2016-12-01,7.61
2017-01-01,7.7
2017-02-01,7.82
2017-03-01,8.01
2017-04-01,7.95
2017-05-01,7.81
2017-06-01,7.83
2017-07-01,7.71
2017-08-01,7.74
2017-09-01,7.57
2017-10-01,7.65
2017-11-01,7.74
2017-12-01,7.75
2018-01-01,8.05
2018-02-01,8.14
2018-03-01,8.16
2018-04-01,8.13
2018-05-01,7.96
2018-06-01,7.98
2018-07-01,7.91
2018-08-01,7.81
2018-09-01,7.86
2018-10-01,7.97
2018-11-01,8.21
2018-12-01,8.16
2019-01-01,8.29
2019-02-01,8.35
2019-03-01,8.21
2019-04-01,8.39
2019-05-01,8.35
2019-06-01,8.51
2019-07-01,8.16
2019-08-01,8.16
2019-09-01,8.12
2019-10-01,8.05
2019-11-01,8.37
2019-12-01,8.46
2020-01-01,8.58
2020-02-01,8.5
2020-03-01,8.78
2020-04-01,8.49
2020-05-01,8.64
2020-06-01,8.72
2020-07-01,8.32
2020-08-01,8.31
2020-09-01,8.37
2020-10-01,8.36
2020-11-01,8.34
2020-12-01,8.63
2021-01-01,8.63
2021-02-01,8.88
2021-03-01,8.79
2021-04-01,9.03
2021-05-01,8.74
2021-06-01,8.71
2021-07-01,8.74
2021-08-01,8.48
2021-09-01,8.62
2021-10-01,8.78
2021-11-01,8.58
2021-12-01,8.88
2022-01-01,9.01
2022-02-01,9.15
2022-03-01,9.0
2022-04-01,8.98
2022-05-01,9.11
2022-06-01,9.01
2022-07-01,8.93
2022-08-01,8.88
2022-09-01,8.77
2022-10-01,8.91
2022-11-01,9.01
2022-12-01,9.03
2023-01-01,9.41
2023-02-01,9.36
2023-03-01,9.24
2023-04-01,9.42
2023-05-01,9.2
2023-06-01,9.3
2023-07-01,9.26
2023-08-01,9.0
2023-09-01,9.18
2023-10-01,9.17
2023-11-01,9.3
2023-12-01,9.53
